2025-02-25 02:58:50 startup archives unpack
2025-02-25 02:58:50 install readline-common:all <none> 8.2-1.3
2025-02-25 02:58:50 status half-installed readline-common:all 8.2-1.3
2025-02-25 02:58:50 status unpacked readline-common:all 8.2-1.3
2025-02-25 02:58:50 install libssl3:arm64 <none> 3.0.15-1~deb12u1
2025-02-25 02:58:50 status triggers-pending libc-bin:arm64 2.36-9+deb12u9
2025-02-25 02:58:50 status half-installed libssl3:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:50 status unpacked libssl3:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:50 install openssl:arm64 <none> 3.0.15-1~deb12u1
2025-02-25 02:58:50 status half-installed openssl:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:50 status unpacked openssl:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:50 install ca-certificates:all <none> 20230311
2025-02-25 02:58:50 status half-installed ca-certificates:all 20230311
2025-02-25 02:58:50 status unpacked ca-certificates:all 20230311
2025-02-25 02:58:50 install libbrotli1:arm64 <none> 1.0.9-2+b6
2025-02-25 02:58:50 status half-installed libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:58:50 status unpacked libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:58:50 install libkrb5support0:arm64 <none> 1.20.1-2+deb12u2
2025-02-25 02:58:50 status half-installed libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:50 status unpacked libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:50 install libk5crypto3:arm64 <none> 1.20.1-2+deb12u2
2025-02-25 02:58:50 status half-installed libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:50 status unpacked libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:50 install libkeyutils1:arm64 <none> 1.6.3-2
2025-02-25 02:58:50 status half-installed libkeyutils1:arm64 1.6.3-2
2025-02-25 02:58:50 status unpacked libkeyutils1:arm64 1.6.3-2
2025-02-25 02:58:50 install libkrb5-3:arm64 <none> 1.20.1-2+deb12u2
2025-02-25 02:58:50 status half-installed libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:50 status unpacked libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:50 install libgssapi-krb5-2:arm64 <none> 1.20.1-2+deb12u2
2025-02-25 02:58:50 status half-installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:50 status unpacked libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:50 install libsasl2-modules-db:arm64 <none> 2.1.28+dfsg-10
2025-02-25 02:58:50 status half-installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:50 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:50 install libsasl2-2:arm64 <none> 2.1.28+dfsg-10
2025-02-25 02:58:50 status half-installed libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:50 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 install libldap-2.5-0:arm64 <none> 2.5.13+dfsg-5
2025-02-25 02:58:51 status half-installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:58:51 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:58:51 install libnghttp2-14:arm64 <none> 1.52.0-1+deb12u2
2025-02-25 02:58:51 status half-installed libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:51 status unpacked libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:51 install libpsl5:arm64 <none> 0.21.2-1
2025-02-25 02:58:51 status half-installed libpsl5:arm64 0.21.2-1
2025-02-25 02:58:51 status unpacked libpsl5:arm64 0.21.2-1
2025-02-25 02:58:51 install librtmp1:arm64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:51 status half-installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:51 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:51 install libssh2-1:arm64 <none> 1.10.0-3+b1
2025-02-25 02:58:51 status half-installed libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:51 status unpacked libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:51 install libcurl3-gnutls:arm64 <none> 7.88.1-10+deb12u8
2025-02-25 02:58:51 status half-installed libcurl3-gnutls:arm64 7.88.1-10+deb12u8
2025-02-25 02:58:51 status unpacked libcurl3-gnutls:arm64 7.88.1-10+deb12u8
2025-02-25 02:58:51 install libreadline8:arm64 <none> 8.2-1.3
2025-02-25 02:58:51 status half-installed libreadline8:arm64 8.2-1.3
2025-02-25 02:58:51 status unpacked libreadline8:arm64 8.2-1.3
2025-02-25 02:58:51 install gnupg1:arm64 <none> 1.4.23-1.1+b1
2025-02-25 02:58:51 status half-installed gnupg1:arm64 1.4.23-1.1+b1
2025-02-25 02:58:51 status unpacked gnupg1:arm64 1.4.23-1.1+b1
2025-02-25 02:58:51 startup packages configure
2025-02-25 02:58:51 configure libkeyutils1:arm64 1.6.3-2 <none>
2025-02-25 02:58:51 status unpacked libkeyutils1:arm64 1.6.3-2
2025-02-25 02:58:51 status half-configured libkeyutils1:arm64 1.6.3-2
2025-02-25 02:58:51 status installed libkeyutils1:arm64 1.6.3-2
2025-02-25 02:58:51 configure libpsl5:arm64 0.21.2-1 <none>
2025-02-25 02:58:51 status unpacked libpsl5:arm64 0.21.2-1
2025-02-25 02:58:51 status half-configured libpsl5:arm64 0.21.2-1
2025-02-25 02:58:51 status installed libpsl5:arm64 0.21.2-1
2025-02-25 02:58:51 configure libbrotli1:arm64 1.0.9-2+b6 <none>
2025-02-25 02:58:51 status unpacked libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:58:51 status half-configured libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:58:51 status installed libbrotli1:arm64 1.0.9-2+b6
2025-02-25 02:58:51 configure libssl3:arm64 3.0.15-1~deb12u1 <none>
2025-02-25 02:58:51 status unpacked libssl3:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:51 status half-configured libssl3:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:51 status installed libssl3:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:51 configure libnghttp2-14:arm64 1.52.0-1+deb12u2 <none>
2025-02-25 02:58:51 status unpacked libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:51 status half-configured libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:51 status installed libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:51 configure libkrb5support0:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:51 status unpacked libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status half-configured libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status installed libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 configure libsasl2-modules-db:arm64 2.1.28+dfsg-10 <none>
2025-02-25 02:58:51 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 status half-configured libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 status installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 configure librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2025-02-25 02:58:51 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:51 status half-configured librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:51 status installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:51 configure libk5crypto3:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:51 status unpacked libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status half-configured libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status installed libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 configure libsasl2-2:arm64 2.1.28+dfsg-10 <none>
2025-02-25 02:58:51 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 status half-configured libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 status installed libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:51 configure libssh2-1:arm64 1.10.0-3+b1 <none>
2025-02-25 02:58:51 status unpacked libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:51 status half-configured libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:51 status installed libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:51 configure libkrb5-3:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:51 status unpacked libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status half-configured libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 status installed libkrb5-3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:51 configure openssl:arm64 3.0.15-1~deb12u1 <none>
2025-02-25 02:58:51 status unpacked openssl:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:51 status half-configured openssl:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:51 status installed openssl:arm64 3.0.15-1~deb12u1
2025-02-25 02:58:51 configure readline-common:all 8.2-1.3 <none>
2025-02-25 02:58:51 status unpacked readline-common:all 8.2-1.3
2025-02-25 02:58:51 status half-configured readline-common:all 8.2-1.3
2025-02-25 02:58:51 status installed readline-common:all 8.2-1.3
2025-02-25 02:58:51 configure libreadline8:arm64 8.2-1.3 <none>
2025-02-25 02:58:51 status unpacked libreadline8:arm64 8.2-1.3
2025-02-25 02:58:51 status half-configured libreadline8:arm64 8.2-1.3
2025-02-25 02:58:51 status installed libreadline8:arm64 8.2-1.3
2025-02-25 02:58:51 configure libldap-2.5-0:arm64 2.5.13+dfsg-5 <none>
